"City","City Area (km2)","Metro Area (km2)","People","City Population (millions)","Metro Population (millions)","Foreign Born","Annual Population Growth","Economy","GDP Per Capita (thousands $, PPP rates, per resident)","Primary Industry","Secondary Industry","Share of Global 500 Companies (%)","Unemployment Rate","Poverty Rate","Transportation","Public Transportation","Mass Transit Commuters","Major Airports","Major Ports","Education","Students Enrolled in Higher Education","Percent of Population with Higher Education (%)","Higher Education Institutions","Tourism","Total Tourists Annually (millions)","Foreign Tourists Annually (millions)","Domestic Tourists Annually (millions)","Annual Tourism Revenue ($US billions)","Hotel Rooms (thousands)","Health","Infant Mortality (Deaths per 1,000 Births)","Life Expectancy in Years (Male)","Life Expectancy in Years (Female)","Physicians per 100,000 People","Number of Hospitals","Anti-Smoking Legislation","Culture","Number of Museums","Number of Cultural and Arts Organizations","Environment","Green Spaces (km2)","Air Quality*","Laws or Regulations to Improve Energy Efficiency","Retrofitted City Vehicle Fleet","Bike Share Program"
"Brussels","32.6","161.4","Brussels","0.16","1.1","0.325","0.012","Brussels","45.6","Real Estate, Rental & Leasing; Wholesale","Manufacturing","0.006","0.16","0.263","Brussels","Bus, Tram, Train, Metro, Bikeshare","0.17","2","1","Brussels","36600","0.35","25","Brussels","-----","-----","-----","-----","32.1","Brussels","4.63","77","82.6","592","43","Yes","Brussels","25","-----","Brussels","0.138","28","Yes","-----","Yes"
"Buenos Aires","200","5460","Buenos Aires","2.99","13.37","0.3077","0.0112","Buenos Aires","26.1","Professional Services","Finance and Insurance","","0.056","0.126","Buenos Aires","Subway, Bus, Railway, Bikeshare","0.5","1","1","Buenos Aires","473549","0.35","36","Buenos Aires","8.47","2.69","6.13","$2.03","23.69","Buenos Aires","7.6","73","80","-----","33","Yes","Buenos Aires","131","-----","Buenos Aires","0.0918","38","Yes","Yes","Yes"
"Cairo","155.58","1881.04","Cairo","7.3","8.12","-----","0.014","Cairo","10.1","-----","-----","","0.119","0.076","Cairo","Bus, Subway","0.246","1","","Cairo","189948","-----","13","Cairo","-----","-----","-----","-----","-----","Cairo","16.3","71.7","75.2","5","18","Yes","Cairo","15","-----","Cairo","-----","138","-----","Yes","-----"
"Chicago","587.93","10544","Chicago","2.83","9.57","0.21","-----","Chicago","55","Professional, Scientific and Technical Services","Health Care and Social Assistance","0.004","0.095","0.208","Chicago","Train, Trolley, Subway, Bus, Bikeshare","0.2645","2","1","Chicago","239869","0.3732","60","Chicago","29.13","1.13","28","$11.1","30.5","Chicago","7.9","70.55","77.6","-----","50","Yes","Chicago","33","117","Chicago","-----","22","Yes","Yes","Yes"
"Cologne","405","1627","Cologne","1.02","1.87","0.31","0.0045","Cologne","40.3","Trade & Commerce","Automobiles","0.01","0.103","0.1341","Cologne","Bus, Rail, Light Rail, Tram, Bikeshare","0.21","1","4","Cologne","70027","0.26","8","Cologne","2.343","-----","-----","$.230","-----","Cologne","4.28","72.6","79.6","220","23","Yes","Cologne","29","-----","Cologne","0.43","23","Yes","-----","Yes"
"Copenhagen","89.92","2782.55","Copenhagen","0.51","1.2","0.14","0.0013","Copenhagen","39.3","Health Care and Social Assistance","Real Estate and other Services","0.004","0.079","-----","Copenhagen","Bus, Ferry, Metro, Train, Subway, Bikeshare","-----","1","1","Copenhagen","67495","0.322","41","Copenhagen","-----","-----","-----","$5.44","-----","Copenhagen","4.31","74.1","79.6","-----","6","-----","Copenhagen","10","-----","Copenhagen","0.293","26","Yes","Yes","Yes"
"Delhi","1483","2000","Delhi","16.75","-----","-----","0.0192","Delhi","9.5","Manufacturing & Repair Services","Retail Trade","0.002","0.0314","0.147","Delhi","Bus, Rail","-----","1","","Delhi","469923","-----","186","Delhi","0.883","0.269","0.614","-----","12","Delhi","18.96","63","65","-----","24","Yes","Delhi","21","-----","Delhi","-----","198","Yes","Yes","No"
"Dhaka","145","360","Dhaka","6","9.3","-----","0.06","Dhaka","0.5","Manufacturing","Agriculture","","0.23","0.498","Dhaka","Bus, Rickshaw, Rickshaw Van","0.84","1","1","Dhaka","-----","-----","43","Dhaka","-----","-----","-----","-----","-----","Dhaka","69","62.8","62.8","23","2","Yes","Dhaka","1","-----","Dhaka","0.241","134","Yes","-----","-----"
"Dubai","3885","4114","Dubai","1.9","1.771","-----","0.073","Dubai","22.8","Transportation and Warehousing","Accommodation and Food Services","","0.008","-----","Dubai","Bus, Metro, Ferry","-----","1","2","Dubai","39127","0.11","52","Dubai","6.1","5.57","0.53","$7.9","52089","Dubai","6.1","75.8","75.7","330","25","No","Dubai","1","12","Dubai","0.04","87","-----","-----","-----"
"Dublin","115","118","Dublin","1.3","1.7","0.15","0.07","Dublin","52.1","Wholesale/Retail Trade","Human Health and Social Work Activities","0.01","0.108","0.093","Dublin","Bus, Rail, Tram, Bikeshare","-----","1","1","Dublin","-----","-----","22","Dublin","5.5","3.9","1.4","2.1","19185","Dublin","-----","76.7","81.5","237","44","Yes","Dublin","10","-----","Dublin","0.236","15","Yes","-----","Yes"
"Frankfurt","248","14755","Frankfurt","0.688","5.52","0.243","0.01","Frankfurt","51.6","Industrial","Retail","0.008","0.061","0.11","Frankfurt","Bus, Tram, Subway, Bikeshare","0.47","1","1","Frankfurt","40400","-----","10","Frankfurt","3.684","1.596","2.088","-----","36840","Frankfurt","-----","79.4","79.4","235","19","Yes","Frankfurt","47","202","Frankfurt","0.52","22","Yes","Yes","Yes"
"Geneva","15.9","282.4","Geneva","0.19","0.46","0.0046","0.0108","Geneva","45.6","Wholesale","Finance & Insurance","","0.07","0.22","Geneva","Bus, Tram, Ferry","0.314","1","-----","Geneva","5065","0.306","-----","Geneva","1.35","1.02","0.33","-----","9.25","Geneva","-----","77.6","83.8","5.89","-----","Yes","Geneva","40","135","Geneva","0.195","22","Yes","-----","Yes"
"Guangzhou","3834.74","7434.4","Guangzhou","6.46","7.84","-----","0.0439","Guangzhou","38.2","Manufacturing","Wholesale and Retail","0.002","0.022","0.0159","Guangzhou","Bus, Rail, Subway","-----","1","1","Guangzhou","843900","0.0216","77","Guangzhou","45.06","8.14","36.92","19.42","59.75","Guangzhou","4.04","75.25","80.94","520","216","Yes","Guangzhou","60","194","Guangzhou","0.3714","70","Yes","-----","-----"
"Hamburg","7304","19802","Hamburg","1.77","3.5","0.135","-0.004","Hamburg","48.7","Finance & Corporate Services","Trade","0.004","0.082","0.15","Hamburg","Metro Rail, Regional Rail, Bus, Ferry, Bikeshare","0.105","1","1","Hamburg","128966","-----","187","Hamburg","4.37","0.81","3.56","$9.3","-----","Hamburg","9.7","-----","-----","600.23","49","Yes","Hamburg","50","97","Hamburg","0.82","23","Yes","-----","Yes"
"Hanoi","-----","3324","Hanoi","2.64","6.47","-----","0.0247","Hanoi","1.6","-----","-----","","0.0684","0.054","Hanoi","Bus, Rail","0.056","2","2","Hanoi","541671","-----","96","Hanoi","9","1.3","7.7","-----","12.7","Hanoi","11","-----","-----","5235","41","-----","Hanoi","-----","-----","Hanoi","0.53","-----","Yes","-----","-----"
"Helsinki","214","770","Helsinki","0.589","2","0.168","0.009","Helsinki","47.7","Finance and Insurance","Information and Media","","0.062","-----","Helsinki","Tram, Metro, Ferry, Bus, Bikeshare","0.7","1","1","Helsinki","309000","0.33","9","Helsinki","3","0.168","0.132","$.27","8.085","Helsinki","3","74.8","82","318","8","Yes","Helsinki","79","52","Helsinki","0.076","20","Yes","Yes","Yes"
"Ho Chi Minh City","-----","2096","Ho Chi Minh City","7.12","-----","-----","0.0772","Ho Chi Minh City","2.3","Services","Manufacturing & Construction","","0.048","0.021","Ho Chi Minh City","Bus","0.06","1","1","Ho Chi Minh City","372404","-----","72","Ho Chi Minh City","4.93","2.359","2.571","$0.168","31.39","Ho Chi Minh City","10.6","-----","-----","0.058","56","Yes","Ho Chi Minh City","8","3","Ho Chi Minh City","0.0026","67","Yes","Yes","No"
"Hong Kong","127.5","1104.4","Hong Kong","3.44","7.13","-----","0.012","Hong Kong","48.7","Trading and Logistics/Finances","Professional Services","0.008","0.034","0.128","Hong Kong","Bus, Ferry, Rail, Tram, Subway","0.9","1","1","Hong Kong","332500","0.275","17","Hong Kong","48.62","25.16","23.46","10","67","Hong Kong","1.5","80.6","86.3","180","51","Yes","Hong Kong","18","95","Hong Kong","0.4","50","Yes","Yes","-----"
"Houston","1500","22735","Houston","2.25","5.54","0.264","0.0147","Houston","64.2","Mining, Quarrying & Oil and Gas Exploration","Healthcare and Social Assistance","0.044","0.083","0.203","Houston","Bus, Light Rail, Handicap Shuttle, Bikeshare","0.06","3","1","Houston","317816","0.279","58","Houston","31.4","13.76","20.64","10.7","60","Houston","6.2","74","79","-----","126","Yes","Houston","50","250","Houston","0.104","21","Yes","Yes","Yes"
"Istanbul","1023","5313","Istanbul","9.89","12.57","0.019","0.045","Istanbul","22.8","Wholesale","Manufacturing","0.002","0.112","0.0886","Istanbul","Metro, Tramway, Ferry, Railway, Funiculars, Intercity Car Ship","-----","2","1","Istanbul","-----","0.092","29","Istanbul","6.45","-----","-----","$3.1","-----","Istanbul","16.1","69.9","73.6","1.7","200","Yes","Istanbul","63","62","Istanbul","0.45","59","Yes","Yes","-----"
"Jakarta","650","6580","Jakarta","9.6","27.9","-----","0.014","Jakarta","7.2","Agriculture, Forestry, Hunting and Fishing","Retail Trade, Restaurants and Hotels","","0.1105","0.0348","Jakarta","Bus, Train, Ferry","0.65","1","1","Jakarta","-----","-----","9","Jakarta","4.2","0.65","3.55","$0.22","6.34","Jakarta","24","66","71","30","137","Yes","Jakarta","5","25","Jakarta","0.09","43","Yes","-----","No"
"Jerusalem","125.2","653","Jerusalem","0.77","1","0.086","0.017","Jerusalem","-----","Real Estate, Rental; Business Activities","Wholesale, Retail Trade, Repairs","","0.086","-----","Jerusalem","Buses, Minibus","-----","","","Jerusalem","32800","0.2","15","Jerusalem","1.4","1.1","0.28","0.41","9.3","Jerusalem","4.5","78","82","-----","16","-----","Jerusalem","39","39","Jerusalem","-----","60","Yes","-----","No"
"Johannesburg","1646","2300","Johannesburg","3.8","11","0.067","0.016","Johannesburg","17.4","Financial & Business Services","Manufacturing","","0.37","0.2","Johannesburg","Bus, Rail","0.34","1","","Johannesburg","70000","0.14","2","Johannesburg","1.49","0.56","0.93","1.39","11.5","Johannesburg","48","54","57","-----","30","Yes","Johannesburg","30","-----","Johannesburg","0.006","66","Yes","Yes","-----"
"Karachi","-----","3530","Karachi","14.5","18","-----","0.05","Karachi","21.9","Agriculture","Manufacturing","","0.1756","0.505","Karachi","Bus","0.7","1","2","Karachi","-----","-----","28","Karachi","0.26","-----","-----","-----","-----","Karachi","18","-----","-----","34.13","18","Yes","Karachi","4","17","Karachi","-----","193","No","No","-----"
"Kolkata","185","1480","Kolkata","4.58","14.28","-----","0.0411","Kolkata","3.1","Mining, Quarrying & Oil and Gas Extraction","Information","","0.34","-----","Kolkata","Bus, Rail, Ferry, Rickshaw, Metro","0.25","1","1","Kolkata","-----","-----","25","Kolkata","3.31","0.48","2.83","-----","3.37","Kolkata","38","58","58","-----","19","Yes","Kolkata","19","36","Kolkata","-----","148","Yes","Yes","-----"
"Lagos","300","1183","Lagos","10.2","11.136","-----","0.053","Lagos","3.8","Manufacturing","Finance","","-----","0.0053","Lagos","Bus, Rail, Ferry","-----","1","1","Lagos","-----","-----","14","Lagos","-----","-----","-----","-----","-----","Lagos","85","55","55","-----","11","Yes","Lagos","-----","-----","Lagos","-----","122","No","-----","No"
